epoch,time(s),learning late,train_loss,validation_loss,validation_error(%)
00086,00196,0.06167265147011335297,0.515734,13.43,0.00166793,38.66
00087,00196,0.06090755299820643787,0.494368,13.42,0.00149544,36.29
00088,00196,0.06013976337417795137,0.519049,12.88,0.00147765,35.58
00089,00196,0.05936947203862894679,0.490029,13.04,0.00154113,37.18
00090,00197,0.05859686904942033175,0.500433,12.64,0.00177922,39.96
00091,00196,0.05782214503477903222,0.487791,12.47,0.00137717,34.55
00092,00197,0.05704549114626316503,0.499605,11.91,0.00152101,36.70
00093,00196,0.05626709901159843152,0.440653,11.35,0.00141378,34.72
00094,00196,0.05548716068739670965,0.455372,12.21,0.00132127,33.30
00095,00196,0.05470586861176907068,0.427740,11.38,0.00126298,31.29
00096,00196,0.05392341555684439236,0.384170,11.24,0.00130964,32.04
00097,00196,0.05313999458120591268,0.400530,10.86,0.00122295,31.98
00098,00196,0.05235579898225677792,0.412672,10.21,0.00143034,34.84
00099,00196,0.05157102224852688072,0.446624,10.57,0.00149441,36.49
00100,00196,0.05078585801193238880,0.442066,10.29,0.00131312,32.34
00101,00196,0.05000050000000000328,0.420871,9.80,0.00167043,37.44
00102,00196,0.04921514198806763857,0.403407,9.97,0.00145763,34.43
00103,00196,0.04842997775147313277,0.372396,9.25,0.00130723,31.68
00104,00196,0.04764520101774322863,0.378725,9.38,0.00149067,35.36
00105,00197,0.04686100541879410081,0.390805,8.90,0.00145838,34.64
00106,00202,0.04607758444315562807,0.377990,9.21,0.00158956,36.65
00107,00197,0.04529513138823094975,0.364586,8.48,0.00142179,33.33
00108,00197,0.04451383931260328997,0.358355,8.63,0.00140909,33.41
00109,00197,0.04373390098840156809,0.343486,8.31,0.00149964,33.91
00110,00197,0.04295550885373684152,0.322901,7.67,0.00135073,33.04
00111,00196,0.04217885496522097433,0.256006,7.81,0.00144623,33.72
00112,00196,0.04140413095057966092,0.295466,7.43,0.00133030,32.46
00113,00196,0.04063152796137105977,0.302740,7.07,0.00135720,33.11
00114,00196,0.03986123662582207600,0.294955,7.40,0.00144472,33.72
00115,00196,0.03909344700179358950,0.322473,7.08,0.00140345,32.78
00116,00196,0.03832834852988667440,0.267894,6.58,0.00135779,32.39
00117,00196,0.03756612998670085662,0.252257,6.08,0.00129934,31.32
00118,00196,0.03680697943825635837,0.294442,6.26,0.00137603,32.33
00119,00196,0.03605108419359156352,0.261108,5.93,0.00138265,31.41
00120,00196,0.03529863075854743071,0.242727,5.63,0.00121521,29.35
00121,00196,0.03454980478974982450,0.222737,5.60,0.00131799,30.93
00122,00196,0.03380479104880164398,0.230985,5.41,0.00138865,32.19
00123,00196,0.03306377335669555967,0.210989,5.10,0.00135685,31.89
00124,00196,0.03232693454845904368,0.198610,4.93,0.00133764,30.94
00125,00196,0.03159445642804244864,0.206879,4.68,0.00134474,31.30
00126,00196,0.03086651972346170225,0.196240,4.42,0.00124368,29.53
00127,00196,0.03014330404220629325,0.185615,4.42,0.00132413,31.59
00128,00196,0.02942498782692386586,0.182347,4.24,0.00143598,32.36
00129,00196,0.02871174831139215733,0.182633,3.86,0.00135705,32.53
